Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
48,1765581108592,12/12/2025 23:11:48,1765581107676,-6,12/12/2025 17:11:47,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,8,12,2,opt2,Zone1,content_audio,1564.800000011921,,,0,,,,,,,1,recog-trial,solly.mp3,nusty.mp3,2,drink.PNG,nusty,solly
49,1765581108881,12/12/2025 23:11:48,1765581107957,-6,12/12/2025 17:11:47,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,8,12,3,response,Zone1,response_keyboard,275.10000002384186,,2,1,1,,,,,,1,recog-trial,solly.mp3,nusty.mp3,2,drink.PNG,nusty,solly
50,1765581109879,12/12/2025 23:11:49,1765581108956,-6,12/12/2025 17:11:48,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,8,12,4,ITI,Zone1,timelimit_screen,999.5999999999985,,,0,,,,,1,,1,recog-trial,solly.mp3,nusty.mp3,2,drink.PNG,nusty,solly
51,1765581111483,12/12/2025 23:11:51,1765581110556,-6,12/12/2025 17:11:50,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,12,13,1,opt1,Zone1,content_audio,1585.699999988079,,,0,,,,,,,1,recog-trial,nusty.mp3,regby.mp3,2,monster.PNG,regby,nusty
52,1765581113098,12/12/2025 23:11:53,1765581112176,-6,12/12/2025 17:11:52,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,12,13,2,opt2,Zone1,content_audio,1613.6000000238419,,,0,,,,,,,1,recog-trial,nusty.mp3,regby.mp3,2,monster.PNG,regby,nusty
53,1765581113393,12/12/2025 23:11:53,1765581112475,-6,12/12/2025 17:11:52,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,12,13,3,response,Zone1,response_keyboard,292.60000002384186,,2,1,1,,,,,,1,recog-trial,nusty.mp3,regby.mp3,2,monster.PNG,regby,nusty
54,1765581114377,12/12/2025 23:11:54,1765581113470,-6,12/12/2025 17:11:53,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,12,13,4,ITI,Zone1,timelimit_screen,999.5999999999913,,,0,,,,,1,,1,recog-trial,nusty.mp3,regby.mp3,2,monster.PNG,regby,nusty
55,1765581116008,12/12/2025 23:11:56,1765581115096,-6,12/12/2025 17:11:55,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,14,14,1,opt1,Zone1,content_audio,1618.199999988079,,,0,,,,,,,1,recog-trial,ballow.mp3,mowel.mp3,2,ride.PNG,mowel,ballow
56,1765581117597,12/12/2025 23:11:57,1765581116676,-6,12/12/2025 17:11:56,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,14,14,2,opt2,Zone1,content_audio,1573.699999988079,,,0,,,,,,,1,recog-trial,ballow.mp3,mowel.mp3,2,ride.PNG,mowel,ballow
57,1765581117872,12/12/2025 23:11:57,1765581116966,-6,12/12/2025 17:11:56,250842,10,task-lwe7,,51378655,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,picRecog_B,picRecog_B,14,14,3,response,Zone1,response_keyboard,284.60000002384186,,2,1,1,,,,,,1,recog-trial,ballow.mp3,mowel.mp3,2,ride.PNG,mowel,ballow
