Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
24,1765580789931,12/12/2025 23:06:29,1765580789130,-7,12/12/2025 16:06:29,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,22,4,1,Screen 1,Zone1,response_button_text,2170.2000000476837,,Intergalactic Zoo,1,1,,,,,,1,comprehensionQs,Where did they go?,Intergalactic Fairground,Intergalactic Zoo,Intergalactic Zoo,,
25,1765580790220,12/12/2025 23:06:30,1765580789146,-7,12/12/2025 16:06:29,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,,,END TASK,,,,,500092,,,,,,,,,,,,,,,,,
1,1765581639635,12/12/2025 23:20:39,1765581639571,-6,12/12/2025 17:20:39,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765581642560,12/12/2025 23:20:42,1765581642536,-6,12/12/2025 17:20:42,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,1,1,1,Screen 2,advancementZone,continue_button,2924.2999999821186,,,0,,,,,,,,instructions,,,,,,
3,1765581651040,12/12/2025 23:20:51,1765581651016,-6,12/12/2025 17:20:51,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,1,1,2,Screen 1,advancementZone,continue_button,8467.899999976158,,,0,,,,,,,,instructions,,,,,,
4,1765581654519,12/12/2025 23:20:54,1765581654511,-6,12/12/2025 17:20:54,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,2,1,1,Screen 1,advancementZone,continue_button,3476.5999999940395,,,0,,,,,,,,storyTitle,,,,,Title.JPG,
5,1765581683442,12/12/2025 23:21:23,1765581683430,-6,12/12/2025 17:21:23,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,3,1,1,Screen 1,storyAudio,content_audio,28904.20000001788,,,0,,,,,,,,storyScreens,,,,,Scene1.JPG,CC_P1.mp3
6,1765581713618,12/12/2025 23:21:53,1765581713562,-6,12/12/2025 17:21:53,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,4,2,1,Screen 1,storyAudio,content_audio,30082.600000023842,,,0,,,,,,,,storyScreens,,,,,Scene2.JPG,CC_P2.mp3
7,1765581760468,12/12/2025 23:22:40,1765581760469,-6,12/12/2025 17:22:40,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,5,3,1,Screen 1,storyAudio,content_audio,46863.80000001192,,,0,,,,,,,,storyScreens,,,,,Scene3.JPG,CC_P3.mp3
8,1765581805635,12/12/2025 23:23:25,1765581805628,-6,12/12/2025 17:23:25,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,6,4,1,Screen 1,storyAudio,content_audio,45134.79999998212,,,0,,,,,,,,storyScreens,,,,,Scene4.JPG,CC_P4.mp3
9,1765581838120,12/12/2025 23:23:58,1765581838106,-6,12/12/2025 17:23:58,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,7,5,1,Screen 1,storyAudio,content_audio,32451.09999999404,,,0,,,,,,,,storyScreens,,,,,Scene5.JPG,CC_P5.mp3
10,1765581888496,12/12/2025 23:24:48,1765581888486,-6,12/12/2025 17:24:48,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,8,6,1,Screen 1,storyAudio,content_audio,50352.39999997616,,,0,,,,,,,,storyScreens,,,,,Scene6.JPG,CC_P6.mp3
11,1765581916561,12/12/2025 23:25:16,1765581916565,-6,12/12/2025 17:25:16,250842,10,task-n1na,,51378803,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,9,7,1,Screen 1,storyAudio,content_audio,28052.59999999404,,,0,,,,,,,,storyScreens,,,,,Scene7.JPG,CC_P7.mp3
