Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
50,1765680284962,14/12/2025 02:44:44,1765680284145,-5,13/12/2025 21:44:44,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,2,Screen 1,audioCue,content_audio,1556.4000000003725,,,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
51,1765680285108,14/12/2025 02:44:45,1765680284174,-5,13/12/2025 21:44:44,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,advancementZone,audio_recording,25.600000000558794,,STARTED RECORDING,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
52,1765680287487,14/12/2025 02:44:47,1765680286656,-5,13/12/2025 21:44:46,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,Zone1,continue_button,2504.5,,,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
53,1765680287617,14/12/2025 02:44:47,1765680286695,-5,13/12/2025 21:44:46,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,advancementZone,audio_recording,2546,,STOPPED RECORDING,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
54,1765680287617,14/12/2025 02:44:47,1765680286695,-5,13/12/2025 21:44:46,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,advancementZone,audio_recording,2546.600000000559,,TRANSCODING START,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
55,1765680287928,14/12/2025 02:44:47,1765680287123,-5,13/12/2025 21:44:47,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,advancementZone,audio_recording,2974.600000000559,,TRANSCODING FINISH,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
56,1765680288129,14/12/2025 02:44:48,1765680287126,-5,13/12/2025 21:44:47,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,advancementZone,audio_recording,2977.4000000003725,,250842-10-14743152-task-1onv-51389638-nusty-6-3.mp3,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
57,1765680288129,14/12/2025 02:44:48,1765680287126,-5,13/12/2025 21:44:47,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,3,Screen 2,advancementZone,audio_recording,2977.600000000559,,https://app.gorilla.sc/uploads/schedule/51389638?filename=nusty-6-3.mp3,0,,,,,,,1,stemComp,nu.mp3,nusty,NU____
58,1765680289466,14/12/2025 02:44:49,1765680288651,-5,13/12/2025 21:44:48,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,1,Screen 3,Zone1,timelimit_screen,1500.5999999999767,,,0,,,,,1,,1,stemComp,ra.mp3,rafar,RA___
59,1765680291031,14/12/2025 02:44:51,1765680290205,-5,13/12/2025 21:44:50,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,2,Screen 1,audioCue,content_audio,1548.800000000745,,,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
60,1765680291176,14/12/2025 02:44:51,1765680290238,-5,13/12/2025 21:44:50,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,3,Screen 2,advancementZone,audio_recording,28.200000000186265,,STARTED RECORDING,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
61,1765680293454,14/12/2025 02:44:53,1765680292635,-5,13/12/2025 21:44:52,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,3,Screen 2,Zone1,continue_button,2421.300000000745,,,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
62,1765680293643,14/12/2025 02:44:53,1765680292661,-5,13/12/2025 21:44:52,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,3,Screen 2,advancementZone,audio_recording,2450.9000000003725,,STOPPED RECORDING,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
63,1765680293643,14/12/2025 02:44:53,1765680292662,-5,13/12/2025 21:44:52,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,3,Screen 2,advancementZone,audio_recording,2451.5,,TRANSCODING START,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
64,1765680293933,14/12/2025 02:44:53,1765680293126,-5,13/12/2025 21:44:53,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,9,6,3,Screen 2,advancementZone,audio_recording,0.8999999994412065,,TRANSCODING FINISH,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
