Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
5,1765580410023,12/12/2025 23:00:10,1765580390419,-5,12/12/2025 17:59:50,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,7918,,STOPPED RECORDING,0,,,,,,,,microphoneCheck,,,
6,1765580410157,12/12/2025 23:00:10,1765580390420,-5,12/12/2025 17:59:50,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,7919,,TRANSCODING START,0,,,,,,,,microphoneCheck,,,
7,1765580410595,12/12/2025 23:00:10,1765580391012,-5,12/12/2025 17:59:51,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8512,,TRANSCODING FINISH,0,,,,,,,,microphoneCheck,,,
8,1765580410730,12/12/2025 23:00:10,1765580391013,-5,12/12/2025 17:59:51,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8513,,250842-10-14743093-task-qyn5-51378508-test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
9,1765580410730,12/12/2025 23:00:10,1765580391013,-5,12/12/2025 17:59:51,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8513,,https://app.gorilla.sc/uploads/schedule/51378508?filename=test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
10,1765580410730,12/12/2025 23:00:10,1765580391014,-5,12/12/2025 17:59:51,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8513,,,0,,,,,,,,microphoneCheck,,,
11,1765580418262,12/12/2025 23:00:18,1765580398686,-5,12/12/2025 17:59:58,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,2,1,1,Screen 1,advancementZone,continue_button,7663,,,0,,,,,,,,StemComp-Instructions,,,
12,1765580433716,12/12/2025 23:00:33,1765580414139,-5,12/12/2025 18:00:14,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,2,1,2,Screen 2,advancementZone,continue_button,15451,,,0,,,,,,,,StemComp-Instructions,,,
13,1765580435203,12/12/2025 23:00:35,1765580415633,-5,12/12/2025 18:00:15,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,1,Screen 3,Zone1,timelimit_screen,1500.2200000000012,,,0,,,,,1,,1,stemComp,re.mp3,regby,RE___
14,1765580436710,12/12/2025 23:00:36,1765580417139,-5,12/12/2025 18:00:17,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,8,1,2,Screen 1,audioCue,content_audio,1504,,,0,,,,,,,1,stemComp,re.mp3,regby,RE___
