Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
62,1765674173595,14/12/2025 01:02:53,1765674173379,-5,13/12/2025 20:02:53,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,advancementZone,audio_recording,5062.4000000003725,,STOPPED RECORDING,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
63,1765674173595,14/12/2025 01:02:53,1765674173382,-5,13/12/2025 20:02:53,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,advancementZone,audio_recording,5065,,TRANSCODING START,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
64,1765674174231,14/12/2025 01:02:54,1765674174150,-5,13/12/2025 20:02:54,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,advancementZone,audio_recording,292.7000000011176,,TRANSCODING FINISH,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
65,1765674174359,14/12/2025 01:02:54,1765674174153,-5,13/12/2025 20:02:54,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,advancementZone,audio_recording,295.80000000074506,,250842-10-14743129-task-6wul-51389433-femod-7-3.mp3,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
66,1765674174359,14/12/2025 01:02:54,1765674174153,-5,13/12/2025 20:02:54,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,advancementZone,audio_recording,295.90000000037253,,https://app.gorilla.sc/uploads/schedule/51389433?filename=femod-7-3.mp3,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
67,1765674175434,14/12/2025 01:02:55,1765674175349,-5,13/12/2025 20:02:55,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,5,7,1,Screen 3,Zone1,timelimit_screen,1500.9000000000087,,,0,,,,,1,,1,stemComp,te.mp3,tesdar,TE____
68,1765674177002,14/12/2025 01:02:57,1765674176924,-5,13/12/2025 20:02:56,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,5,7,2,Screen 1,audioCue,content_audio,1568.199999999255,,,0,,,,,,,1,stemComp,te.mp3,tesdar,TE____
69,1765674177146,14/12/2025 01:02:57,1765674176954,-5,13/12/2025 20:02:56,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,5,7,3,Screen 2,advancementZone,audio_recording,23.90000000037253,,STARTED RECORDING,0,,,,,,,1,stemComp,te.mp3,tesdar,TE____
70,1765674179496,14/12/2025 01:02:59,1765674179414,-5,13/12/2025 20:02:59,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,5,7,3,Screen 2,Zone1,continue_button,2482.4000000003725,,,0,,,,,,,1,stemComp,te.mp3,tesdar,TE____
71,1765674179624,14/12/2025 01:02:59,1765674179434,-5,13/12/2025 20:02:59,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,5,7,3,Screen 2,advancementZone,audio_recording,2504,,STOPPED RECORDING,0,,,,,,,1,stemComp,te.mp3,tesdar,TE____
