ID,CBC,item,acc,RT,session,neighb
676c45d92368330a2c254895,C,peflin,1,326.79999999701977,2,none
676c45d92368330a2c254895,C,femod,1,585.6000000089407,2,none
676c45d92368330a2c254895,C,tesdar,1,428.59999999403954,2,none
676c45d92368330a2c254895,C,rafar,0,1186.9000000059605,2,one
676c45d92368330a2c254895,C,regby,1,673.3000000119209,2,one
676c45d92368330a2c254895,C,nusty,1,303.6000000089407,2,many
676c45d92368330a2c254895,C,vorgal,1,367.1000000089407,2,none
676c45d92368330a2c254895,C,wabon,1,297.3999999910593,2,one
663e3cebf22215cffd238d3e,C,parung,1,770,2,none
663e3cebf22215cffd238d3e,C,tabric,1,1772.800000011921,2,one
663e3cebf22215cffd238d3e,C,vorgal,1,295.9000000357628,2,none
663e3cebf22215cffd238d3e,C,nusty,1,1948.199999988079,2,many
663e3cebf22215cffd238d3e,C,solly,1,280.30000001192093,2,many
663e3cebf22215cffd238d3e,C,femod,1,136.5,2,none
663e3cebf22215cffd238d3e,C,tesdar,1,286.60000002384186,2,none
663e3cebf22215cffd238d3e,C,ballow,1,600.0999999642372,2,many
663e3cebf22215cffd238d3e,C,rafar,1,251.30000001192093,2,one
663e3cebf22215cffd238d3e,C,wabon,0,232.80000001192093,2,one
663e3cebf22215cffd238d3e,C,peflin,1,231.39999997615817,2,none
663e3cebf22215cffd238d3e,C,pungus,1,474.4000000357628,2,one
663e3cebf22215cffd238d3e,C,regby,1,369.5999999642372,2,one
663e3cebf22215cffd238d3e,C,dester,0,134.39999997615814,2,many
663e3cebf22215cffd238d3e,C,mowel,1,258.2000000476837,2,many
6645755c72f71662e832dfb8,C,dester,1,801.0999999642372,2,many
6645755c72f71662e832dfb8,C,ballow,1,494.699999988079,2,many
6645755c72f71662e832dfb8,C,femod,1,390.199999988079,2,none
6645755c72f71662e832dfb8,C,parung,1,998.600000023842,2,none
6645755c72f71662e832dfb8,C,wabon,0,1743.199999988079,2,one
6645755c72f71662e832dfb8,C,mowel,1,352.2000000476837,2,many
6645755c72f71662e832dfb8,C,vorgal,1,321.0999999642372,2,none
6645755c72f71662e832dfb8,C,rafar,1,542.8999999761581,2,one
6645755c72f71662e832dfb8,C,tesdar,1,386.89999997615814,2,none
6645755c72f71662e832dfb8,C,regby,1,251.19999998807907,2,one
6645755c72f71662e832dfb8,C,pungus,1,347.30000001192093,2,one
6645755c72f71662e832dfb8,C,tabric,1,248.9000000357628,2,one
6645755c72f71662e832dfb8,C,peflin,1,636.1999999880791,2,none
6645755c72f71662e832dfb8,C,solly,1,303.10000002384186,2,many
6645755c72f71662e832dfb8,C,nusty,1,279.89999997615814,2,many
58a1fe40ea3d11000170d9b9,C,vorgal,1,61.09999999962747,2,none
58a1fe40ea3d11000170d9b9,C,femod,1,162.79999999981374,2,none
58a1fe40ea3d11000170d9b9,C,ballow,0,555.2999999998137,2,many
58a1fe40ea3d11000170d9b9,C,pungus,1,691.5,2,one
58a1fe40ea3d11000170d9b9,C,solly,1,101.19999999925494,2,many
58a1fe40ea3d11000170d9b9,C,tesdar,0,72.6000000005588,2,none
58a1fe40ea3d11000170d9b9,C,peflin,0,410,2,none
58a1fe40ea3d11000170d9b9,C,rafar,1,558.1999999992549,2,one
58a1fe40ea3d11000170d9b9,C,regby,0,95.59999999962749,2,one
58a1fe40ea3d11000170d9b9,C,tabric,1,187,2,one
58a1fe40ea3d11000170d9b9,C,wabon,1,423.79999999981374,2,one
58a1fe40ea3d11000170d9b9,C,dester,0,90.8999999994412,2,many
58a1fe40ea3d11000170d9b9,C,mowel,1,145.79999999981374,2,many
58a1fe40ea3d11000170d9b9,C,nusty,1,271.79999999981374,2,many
58a1fe40ea3d11000170d9b9,C,parung,1,5.400000000372529,2,none
6917346c854863a0b4e98872,C,ballow,1,198.89999997615817,2,many
6917346c854863a0b4e98872,C,wabon,0,903.7999999523164,2,one
6917346c854863a0b4e98872,C,tesdar,1,334.60000002384186,2,none
6917346c854863a0b4e98872,C,femod,0,191.29999995231628,2,none
6917346c854863a0b4e98872,C,regby,0,122.60000002384186,2,one
6917346c854863a0b4e98872,C,solly,1,4718.700000047684,2,many
6917346c854863a0b4e98872,C,peflin,1,4408.899999976158,2,none
6917346c854863a0b4e98872,C,dester,0,29.399999976158146,2,many
6917346c854863a0b4e98872,C,mowel,0,124.39999997615814,2,many
6917346c854863a0b4e98872,C,parung,0,898.3999999761581,2,none
6917346c854863a0b4e98872,C,nusty,0,281.10000002384186,2,many
6917346c854863a0b4e98872,C,pungus,0,133.20000004768372,2,one
6917346c854863a0b4e98872,C,tabric,1,1000.600000023842,2,one
6917346c854863a0b4e98872,C,rafar,1,327.3000000715256,2,one
6917346c854863a0b4e98872,C,vorgal,0,228.60000002384183,2,none
670420d4f05d7af4f85651e4,C,wabon,0,522.1999999880791,2,one
670420d4f05d7af4f85651e4,C,solly,1,506.4000000357628,2,many
670420d4f05d7af4f85651e4,C,nusty,1,392.5,2,many
670420d4f05d7af4f85651e4,C,ballow,0,305.69999998807907,2,many
670420d4f05d7af4f85651e4,C,mowel,0,648.4000000357628,2,many
670420d4f05d7af4f85651e4,C,dester,0,472.699999988079,2,many
